Name,SMILES,Binary_efficiency,Lipid_ratio,Chol_ratio,Helper_ratio,PEG-ratio
acs.nanolett.5b02497-B15,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,30,45.5,4,0.5
acs.nanolett.5b02497-B16,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,35,22,2.5
acs.nanolett.5b02497-B17,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,29.5,22,3
acs.nanolett.5b02497-B18,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,40,35.5,28,2.5
acs.nanolett.5b02497-B19,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,35,34,22,2.5
acs.nanolett.5b02497-B20,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,30,51.5,28,3
acs.nanolett.5b02497-B21,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,35,45.5,16,2.5
acs.nanolett.5b02497-B22,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,30,38.5,16,3.5
acs.nanolett.5b02497-B23,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,28.5,28,3.5
acs.nanolett.5b02497-B24,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,40,28,3.5
acs.nanolett.5b02497-B25,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,35,34.5,22,3
acs.nanolett.5b02497-B26,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,28,2.5
acs.nanolett.5b02497-B27,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,30,44.5,16,2.5
acs.nanolett.5b02497-B28,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,39.5,22,3.5
acs.nanolett.5b02497-B29,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,30,51,22,3.5
acs.nanolett.5b02497-B30,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,30,39,16,3
acs.nanolett.5b02497-B31,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,41,28,3
acs.nanolett.5b02497-B32,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,40,40.5,16,3
acs.nanolett.5b02497-C33,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,3.5
acs.nanolett.5b02497-C34,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.5b02497-C35,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.5b02497-C36,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.5b02497-C37,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.5b02497-C38,CCCCCCCCCCC(O)CN(CCN1CCN(CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1)CCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C12-1,CCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCC)CCCN1CCN(CCCN2CCN(CC2)CCN(CC(O)CCCCCCCCCC)CCCN3CCN(CC3)CCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1,1,35,46.5,16,2.5
acs.nanolett.9b04246-C12-2,CCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCC)CCOCCOCCN(CC1)CCN1CCN(CC(O)CCCCCCCCCC)CCOCCOCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,35,46.5,16,2.5
acs.nanolett.9b04246-C12-3,CCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCC)CCCCCCCCCCN(CC(O)CCCCCCCCCC)CCN1CCN(CC1)CCCCCCCCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,35,46.5,16,2.5
acs.nanolett.9b04246-C12-4,CCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCC)CCOCCN(CC(O)CCCCCCCCCC)CCN1CCN(CC1)CCOCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C12-5,CCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCC)CCCOCCOCCOCCCN(CC(O)CCCCCCCCCC)CCN1CCN(CC1)CCCOCCOCCOCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,0,35,46.5,16,2.5
acs.nanolett.9b04246-C12-6,CCOC(CN(CC(O)CCCCCCCCCC)CCN(CC1)CCN1CC(OCC)CN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC,1,35,46.5,16,2.5
acs.nanolett.9b04246-C12-7,CCCCCCCCCCC(O)CN(CCN2CCN(CC1(CN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CCCCC1)CC2)CC3(CN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CCCCC3,0,35,46.5,16,2.5
